요구사항ID	LV1	LV2	LV3	요구사항명	상세 요구사항 정의	우선순위(상,중,하)
FR_VERIFY_004	견적서 입력 및 검증	검증 실행		검증 실행 및 결과 산출	"- Step1) 견적서 정보 및 차량 정보를 검증 엔진에 전달
 - Step2) 동일 차량/연식/주행거리 조건의 실제 정비 데이터 조회
 - Step3) 각 항목별 평균 가격, 최소/최대 가격, 중앙값 계산
 - Step4) 사용자 견적 가격과 비교하여 적정/확인필요/과다 판정
 - Step5) 검증 결과 저장 (verification_results 테이블)
 - Step6) 검증 결과 반환
Acceptance Criteria:
- 동일 조건의 실제 정비 데이터가 정확히 조회되어야 함
- 가격 비교 및 판정이 정확해야 함
- 검증 결과가 정상적으로 저장되어야 함"	상
FR_VERIFY_005	견적서 입력 및 검증	검증 결과 저장		검증 결과 저장(이력 레코드 생성)	"- Step1) 검증 결과 화면에서 '저장하기' 버튼 클릭
 - Step2) 로그인 상태 확인
 - Step3) 로그인된 경우, 검증 결과를 verification_history 테이블에 저장
 - Step4) user_id에 현재 사용자 UUID 저장
 - Step5) 저장 성공 시 토스트 메시지 표시
 - Step6) 비로그인 사용자의 경우 로그인 모달 표시 후 로그인 유도
Acceptance Criteria:
- 로그인 사용자만 검증 결과를 저장할 수 있어야 함
- 검증 결과가 정상적으로 이력에 저장되어야 함
- 비로그인 사용자에게는 로그인 유도가 표시되어야 함"	상
FR_HISTORY_001	검증 이력/열람	검증 이력 열람		저장된 검증 이력 열람(목록+상세+차량별 필터 포함)	"- Step1) 메인 페이지 하단에 최근 검증 2건 표시 (로그인 사용자만)
 - Step2) 내 차 탭에서 차량 선택
 - Step3) 선택한 차량의 검증 이력 목록 표시
 - Step4) 정렬 옵션 (최신순/비용순)
 - Step5) 각 항목에 날짜, 정비소명, 항목 요약, 총액 표시
 - Step6) 항목 클릭 시 상세 화면(/history/[id])으로 이동
 - Step7) 검증 내역 상세 정보 표시 (날짜, 정비소, 차량 정보)
 - Step8) 검증된 항목 목록 표시 (항목명, 부품비, 공임비, 총액, 상태)
 - Step9) 항목별 상세 정보 확인 가능 (항목 상세 화면으로 이동)
 - Step10) 검증 결과 화면에서 항목 목록 표시 및 필터 기능 (전체/부품/공임/확인필요)
 - Step11) 항목 상세 화면에서 가격 비교 차트, 가격 범위, 비슷한 차량 정비결과 표시
 - Step12) 총 정비비용 통계 표시
 - Step13) 공유 기능 (링크 복사, 네이티브 공유)
 - Step14) 삭제 기능 (본인 소유 검증만)
 - Step15) 알림 화면(/notifications) 표시 (알림이 없는 경우 빈 상태 UI)
Acceptance Criteria:
- 검증 이력 목록이 정확히 표시되어야 함
- 차량별 필터링이 정상적으로 동작해야 함
- 검증 내역 상세 정보가 정확히 표시되어야 함
- 항목별 상세 정보 확인이 가능해야 함
- 필터 및 정렬 기능이 정상적으로 동작해야 함"	중
FR_SHARE_001	공유	검증 결과 공유		검증 결과 공유(링크/네이티브 공유)	"- Step1) 검증 결과 화면 또는 검증 내역 상세에서 공유 버튼 클릭
 - Step2) 공유 옵션 표시 (링크 복사, 네이티브 공유)
 - Step3) 링크 복사 시 클립보드에 저장 및 토스트 메시지 표시
 - Step4) 네이티브 공유 시 디바이스 공유 기능 호출
Acceptance Criteria:
- 링크 복사가 정상적으로 동작해야 함
- 네이티브 공유가 정상적으로 동작해야 함"	중
FR_PROFILE_001	프로필 관리	프로필 관리		프로필 관리(조회/수정)	"- Step1) 설정 페이지 상단에 프로필 카드 표시 (로그인 사용자만)
 - Step2) 이름 및 이메일 표시
 - Step3) 프로필 수정 기능 (향후 구현)
Acceptance Criteria:
- 프로필 정보가 정확히 표시되어야 함
- 프로필 수정이 정상적으로 동작해야 함"	중
FR_SUPPORT_001	고객센터	고객센터 문의		고객센터 문의 제출	"- Step1) 설정 페이지에서 '고객센터 문의' 메뉴 클릭
 - Step2) 고객센터 문의 화면 표시
 - Step3) 문의 양식 작성 및 제출 기능
 - Step4) 제출 완료 확인
Acceptance Criteria:
- 문의 양식이 정상적으로 제출되어야 함
- 제출 완료 확인이 표시되어야 함"	중
FR_SETTING_001	설정	알림 설정		알림 수신 설정 변경	"- Step1) 설정 페이지에서 알림 섹션 표시
 - Step2) 정비 시기 알림 토글 (기본값: ON)
 - Step3) 검증 완료 알림 토글 (기본값: ON)
 - Step4) 마케팅 알림 토글 (기본값: OFF)
 - Step5) 토글 변경 시 설정 저장
Acceptance Criteria:
- 알림 설정이 정상적으로 저장되어야 함
- 토글 변경 시 즉시 반영되어야 함"	중
SEC_001	보안	데이터 접근제어		데이터 접근제어(RLS 정책 적용)	"- Step1) 모든 테이블에 Row Level Security (RLS) 정책 적용
 - Step2) vehicles 테이블: auth.uid() = user_id 조건으로 사용자별 데이터 접근 제어
 - Step3) estimates 테이블: 인증된 사용자 또는 익명 사용자(user_id IS NULL) 조회 가능
 - Step4) verification_results 테이블: 인증된 사용자 또는 익명 사용자 조회 가능
 - Step5) verification_history 테이블: auth.uid() = user_id 조건으로 본인 데이터만 조회 가능
Acceptance Criteria:
- RLS 정책이 모든 테이블에 정확히 적용되어야 함
- 사용자는 본인의 데이터만 접근할 수 있어야 함
- 익명 사용자는 익명 데이터만 접근할 수 있어야 함"	상
NFR_001	비기능 요구사항	이미지 최적화		이미지 최적화(업로드 리사이즈/압축 등)	"- Step1) 업로드된 이미지 리사이징 (최대 1920px)
 - Step2) 이미지 압축 (품질 80%)
 - Step3) Next.js Image 컴포넌트 사용으로 자동 최적화
Acceptance Criteria:
- 이미지 업로드 시 자동으로 리사이징 및 압축이 적용되어야 함
- 이미지 로딩 성능이 개선되어야 함"	중
NFR_002	비기능 요구사항	공통 UX 품질		공통 UX 품질 규칙	"- Step1) API 요청 중 로딩 스피너 표시
 - Step2) 검증 실행 중 로딩 화면 표시
 - Step3) 데이터 로딩 중 스켈레톤 UI 또는 로딩 인디케이터 표시
 - Step4) API 요청 실패 시 에러 메시지 표시
 - Step5) 네트워크 오류 시 재시도 안내
 - Step6) 사용자 친화적인 에러 메시지 표시
 - Step7) 메인 영역 모든 페이지에 하단 네비게이션 표시
 - Step8) 네비게이션 탭: 홈(/), 검증(/verify/camera), 내 차(/vehicle), 더보기(/settings)
 - Step9) 현재 페이지에 해당하는 탭 하이라이트
 - Step10) 인증 페이지(/auth/*)에서는 네비게이션 숨김
Acceptance Criteria:
- 모든 Flow에서 일관된 로딩 상태가 표시되어야 함
- 모든 Flow에서 일관된 에러 처리가 적용되어야 함
- 하단 네비게이션이 모든 메인 페이지에 표시되어야 함"	중
