요구사항ID	LV1	LV2	LV3	요구사항명	상세 요구사항 정의	우선순위(상,중,하)
REQ_SETTING_001	설정	알림 설정		알림 설정	"- Step1) 설정 페이지에서 알림 섹션 표시
 - Step2) 정비 시기 알림 토글 (기본값: ON)
 - Step3) 검증 완료 알림 토글 (기본값: ON)
 - Step4) 마케팅 알림 토글 (기본값: OFF)
 - Step5) 토글 변경 시 설정 저장"	중
REQ_SETTING_002	설정	고객센터 문의		고객센터 문의	"- Step1) 설정 페이지에서 '고객센터 문의' 메뉴 클릭
 - Step2) 고객센터 문의 화면 표시 (향후 구현)
 - Step3) 문의 양식 작성 및 제출 기능"	하
REQ_SETTING_003	설정	이용약관		이용약관	"- Step1) 설정 페이지에서 '이용약관' 메뉴 클릭
 - Step2) 이용약관 내용 표시 (향후 구현)"	하
REQ_SETTING_004	설정	개인정보처리방침		개인정보처리방침	"- Step1) 설정 페이지에서 '개인정보처리방침' 메뉴 클릭
 - Step2) 개인정보처리방침 내용 표시 (향후 구현)"	하
REQ_SETTING_005	설정	프로필 관리		프로필 관리	"- Step1) 설정 페이지 상단에 프로필 카드 표시 (로그인 사용자만)
 - Step2) 이름 및 이메일 표시
 - Step3) 프로필 수정 기능 (향후 구현)"	중
REQ_SHARE_001	공유	검증 결과 공유		검증 결과 공유	"- Step1) 검증 결과 화면 또는 검증 내역 상세에서 공유 버튼 클릭
 - Step2) 공유 옵션 표시 (링크 복사, 네이티브 공유)
 - Step3) 링크 복사 시 클립보드에 저장 및 토스트 메시지 표시
 - Step4) 네이티브 공유 시 디바이스 공유 기능 호출"	중
REQ_DATA_001	데이터 관리	RLS 정책 적용		RLS 정책 적용	"- Step1) 모든 테이블에 Row Level Security (RLS) 정책 적용
 - Step2) vehicles 테이블: auth.uid() = user_id 조건으로 사용자별 데이터 접근 제어
 - Step3) estimates 테이블: 인증된 사용자 또는 익명 사용자(user_id IS NULL) 조회 가능
 - Step4) verification_results 테이블: 인증된 사용자 또는 익명 사용자 조회 가능
 - Step5) verification_history 테이블: auth.uid() = user_id 조건으로 본인 데이터만 조회 가능"	상
REQ_DATA_002	데이터 관리	토큰 자동 갱신		토큰 자동 갱신	"- Step1) API 요청 시 JWT Access Token 만료 여부 확인
 - Step2) 토큰 만료 시 Refresh Token으로 새 Access Token 발급
 - Step3) 쿠키에 새 토큰 저장
 - Step4) 요청 계속 처리
 - Step5) Refresh Token도 만료된 경우 자동 익명 로그인으로 재인증"	상
REQ_UI_001	UI/UX	하단 네비게이션		하단 네비게이션	"- Step1) 메인 영역 모든 페이지에 하단 네비게이션 표시
 - Step2) 네비게이션 탭: 홈(/), 검증(/verify/camera), 내 차(/vehicle), 더보기(/settings)
 - Step3) 현재 페이지에 해당하는 탭 하이라이트
 - Step4) 인증 페이지(/auth/*)에서는 네비게이션 숨김"	상
REQ_UI_002	UI/UX	로딩 상태 표시		로딩 상태 표시	"- Step1) API 요청 중 로딩 스피너 표시
 - Step2) 검증 실행 중 로딩 화면 표시
 - Step3) 데이터 로딩 중 스켈레톤 UI 또는 로딩 인디케이터 표시"	중
REQ_UI_003	UI/UX	에러 처리		에러 처리	"- Step1) API 요청 실패 시 에러 메시지 표시
 - Step2) 네트워크 오류 시 재시도 안내
 - Step3) 사용자 친화적인 에러 메시지 표시"	중
REQ_PERF_001	성능	이미지 최적화		이미지 최적화	"- Step1) 업로드된 이미지 리사이징 (최대 1920px)
 - Step2) 이미지 압축 (품질 80%)
 - Step3) Next.js Image 컴포넌트 사용으로 자동 최적화"	중
REQ_PERF_002	성능	세션 관리 최적화		세션 관리 최적화	"- Step1) 서버 사이드에서 쿠키 기반 세션 관리 (@supabase/ssr)
 - Step2) 클라이언트 사이드에서 브라우저 쿠키 자동 관리
 - Step3) 세션 갱신은 middleware에서 자동 처리"	상
